time,genome_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
60.0000,14122176586897915794,0.1075,0.0000,0.0000,0.0446,0.5000,0.0351,0.0231,0.4000,0.1613,0.5000,0.2855,0.7738,0.4271,0.0000,0.4176,0.0513
60.0000,12956953868269456522,0.0330,0.0000,0.0000,0.0694,0.5000,0.1527,0.1498,0.1895,0.5000,0.5000,0.8881,0.1348,0.1979,0.0000,0.3926,0.2088
60.0000,3254893953763464168,0.1262,0.0000,0.0000,0.1196,0.5000,0.1079,0.0822,0.1895,0.5000,0.5000,0.2253,0.7602,0.1297,0.0000,0.4416,0.1350
60.0000,5986147937384115050,0.0690,0.0000,0.0000,0.1485,0.0000,0.2280,0.2141,0.1895,0.5000,0.5000,0.7864,0.4081,0.6252,0.0000,0.4156,0.2215
60.0000,8770424912445682149,0.0208,0.0929,0.0326,0.1279,0.5000,0.1127,0.0842,0.4000,0.1613,0.5000,0.7394,0.2408,0.0194,0.0000,0.3643,0.1132
60.0000,12357054704183273169,0.0841,0.0626,0.0000,0.1224,0.0000,0.0302,0.0101,0.1895,0.5000,0.5000,0.6742,0.4393,0.3595,0.0000,0.3694,0.0285
60.0000,4023455165771522388,0.0211,0.1765,0.0000,0.1586,0.0000,0.1919,0.1684,0.4000,0.1613,0.5000,0.3392,0.6768,0.1295,0.0000,0.3523,0.2215
60.0000,9076066650548396895,0.0639,0.0838,0.0704,0.0713,0.0000,0.1274,0.1132,0.1895,0.5000,0.5000,0.6801,0.5034,0.2677,0.0000,0.4286,0.1250
60.0000,12539946376176873924,0.0279,0.2358,0.0000,0.1102,0.0000,0.1763,0.1694,0.1895,0.5000,0.5000,0.1513,0.5954,0.3696,0.0000,0.3923,0.2215
60.0000,18425027896936304582,0.0507,0.0348,0.0810,0.0722,0.0000,0.0517,0.0472,0.4000,0.1613,0.5000,0.1126,0.6607,0.5917,0.0000,0.3515,0.1132
60.0000,9103895213482044160,0.1314,0.0000,0.0000,0.0979,0.5000,0.1583,0.1376,0.4000,0.1613,0.5000,0.7743,0.2887,0.1927,0.0000,0.3586,0.2215
60.0000,16862593802126570748,0.0704,0.0907,0.0585,0.0933,0.5000,0.0928,0.0831,0.4000,0.1613,0.5000,0.5541,0.1853,0.6821,0.0000,0.4037,0.1368
60.0000,726316681498852824,0.0704,0.0907,0.0585,0.0933,0.5000,0.0520,0.0424,0.4000,0.1613,0.5000,0.5913,0.2466,0.7826,0.0000,0.4037,0.1132
60.0000,4349317080336766305,0.0507,0.0348,0.0810,0.0722,0.0000,0.1173,0.1127,0.4000,0.1613,0.5000,0.1644,0.7048,0.5720,0.0000,0.3515,0.1241
60.0000,2163152464723584429,0.1075,0.0000,0.0000,0.0446,0.5000,0.0830,0.0710,0.4000,0.1613,0.5000,0.2853,0.7227,0.4043,0.0000,0.4176,0.1359
60.0000,17768959739715948274,0.0507,0.0000,0.0000,0.0877,0.0000,0.0314,0.0239,0.1895,0.5000,0.5000,0.5587,0.3320,0.1208,0.0000,0.4095,0.0394
60.0000,7289928797564825362,0.0487,0.0502,0.0548,0.1351,0.0000,0.2171,0.2065,0.4000,0.1613,0.5000,0.1922,0.1483,0.7067,0.0000,0.3532,0.2215
